date,gdp_real,gdp_nominal,unemployment_rate,cpi_all_items,cpi_annual_growth,interest_rate_short_term,interest_rate_long_term,industrial_production_index,exports_volume,imports_volume,trade_balance,household_consumption,capital_formation,employment_level,money_supply_broad,exchange_rate_usd,stock_market_index,government_spending,population_total,population_working_age,country,gdp_growth_qoq,gdp_growth_yoy,ip_growth,employment_growth,consumption_growth,investment_growth,exports_growth,imports_growth,m2_growth,gdp_real_lag1,gdp_real_lag2,gdp_real_lag4,unemployment_rate_lag1,unemployment_rate_lag2,unemployment_rate_lag4,cpi_annual_growth_lag1,cpi_annual_growth_lag2,cpi_annual_growth_lag4,industrial_production_index_lag1,industrial_production_index_lag2,industrial_production_index_lag4,interest_rate_short_term_lag1,interest_rate_short_term_lag2,interest_rate_short_term_lag4,trade_gdp_ratio,gov_gdp_ratio,gdp_growth_yoy_ma4,unemployment_rate_ma4,cpi_annual_growth_ma4,gdp_real_diff,employment_level_diff,industrial_production_index_diff
2000-03-31,388892.675509172,305809.0,11.10439,2.352582,2.5376853209500094,3.5104,5.577000000000001,126.7591,20.0705689800455,19.5283518378036,0.0,248222000000.0,74579600000.0,53.01252,,1.03626881430435,171.7711,74842.8264817141,56942108.0,38636510.0,Italy,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.245110848056825,,,,,,
2000-06-30,391455.222947467,308578.2,10.7352,2.490887,2.7542488145999555,4.2945,5.51,128.233,20.5933370382893,20.5795729973482,-0.72,249903700000.0,74834600000.0,53.45625,,1.05298371918182,163.849,74671.8770769108,56952231.65593392,38644270.0,Italy,0.6589343537879433,,,,,,,,,388892.675509172,,,11.10439,,,2.5376853209500094,,,126.7591,,,3.5104,,,-0.0001839290825087863,19.075458111062606,,,,2562.547438294976,0.4437299999999951,1.4739000000000004
2000-09-30,394994.753259094,313205.0,10.4964,2.630783,2.849052328705311,4.5905,5.632000000000001,128.3383,21.6015568088243,21.6465486865388,-0.63,251216700000.0,75721700000.0,53.9325,,1.1483974475714298,166.7135,76136.4877118231,56959823.388518594,38645090.0,Italy,0.9041980037911124,,,,,,,,,391455.222947467,388892.675509172,,10.7352,11.10439,,2.7542488145999555,2.5376853209500094,,128.233,126.7591,,4.2945,3.5104,,-0.00015949578945084265,19.27531621208191,,,,3539.5303116270225,0.4762500000000003,0.10529999999999973
2000-12-31,398822.091440365,318104.8,10.00247,2.673476,2.848773609481084,4.8268,5.297999999999999,132.1284,21.8152598340176,21.8108026667671,-0.69,253121700000.0,75838400000.0,54.41602,,1.11084724065,158.5365,76186.7885856409,56967306.924794644,38642430.0,Italy,0.9689592455828011,,,,,,,,,394994.753259094,391455.222947467,,10.4964,10.7352,,2.849052328705311,2.7542488145999555,,128.3383,128.233,,4.5905,4.2945,,-0.00017300947334888899,19.10295097006504,,10.584615,2.74744001843409,3827.338181270985,0.4835200000000057,3.7900999999999954
2001-03-31,401960.254617945,323437.7,9.815818,2.895522,2.78516542713554,4.7814,5.13,128.0225,21.3054903376721,20.7539854818901,-0.19,253557400000.0,78938500000.0,54.58447,,1.10101394831818,138.9981,79282.2694164575,56976981.0,38652920.0,Italy,0.7868579110666518,3.360201909604954,0.9966937284975996,2.9652429275197623,2.1494468661117816,5.844627753433906,6.152896606241609,6.27617555370894,,398822.091440365,394994.753259094,388892.675509172,10.00247,10.4964,11.10439,2.848773609481084,2.849052328705311,2.5376853209500094,132.1284,128.3383,126.7591,4.8268,4.5905,3.5104,-4.726835497220767e-05,19.723907651470086,,10.262471999999999,2.8093100449804727,3138.1631775799906,0.16845,-4.105899999999991
2001-06-30,401691.817577442,326095.5,9.523403,3.052756,2.6858858308230142,4.5395,5.399,126.8644,21.181054715079,20.8473627816131,-0.27,252761200000.0,78912900000.0,54.54468000000001,,1.1708814672381005,136.5974,78784.5022684208,56991591.41589537,38640370.0,Italy,-0.06678198588518924,2.6150103587578633,-1.0672759742032079,2.0361136443353356,1.1434404532626008,5.4497518527526045,2.8539215169302246,1.30124072204707,,401960.254617945,398822.091440365,391455.222947467,9.815818,10.00247,10.7352,2.78516542713554,2.848773609481084,2.7542488145999555,128.0225,132.1284,128.233,4.7814,4.8268,4.2945,-6.721570820843191e-05,19.613170799335975,,9.95952275,2.792219299036237,-268.4370405030204,-0.03978999999999644,-1.1581000000000046
2001-09-30,400144.81695673,327941.4,9.516593,2.799057,2.5791350013199725,3.9865,5.196000000000001,124.7587,20.6356155325063,20.1473775731377,-0.49,251455200000.0,79305900000.0,54.91441,,1.09583135555,107.0034,79239.0492872173,57013815.36845313,38639230.0,Italy,-0.3851212678520066,1.3038309129786763,-2.78919075599412,1.8206276363973428,0.09493795595594268,4.733385542057289,-4.471628063045019,-6.925681941774764,,401691.817577442,401960.254617945,394994.753259094,9.523403,9.815818,10.4964,2.6858858308230142,2.78516542713554,2.849052328705311,126.8644,128.0225,128.3383,4.5395,4.7814,4.5905,-0.0001224556658578403,19.802592943690655,,9.714571,2.724739967189903,-1547.0006207120023,0.3697299999999899,-2.105699999999999
2001-12-31,399566.357792983,330205.5,9.236442,2.399064,2.495704982834055,3.3389,5.047,123.8112,20.6224863774689,19.2151160935362,0.72,251410400000.0,80389500000.0,55.06936,,1.11988998488889,116.1578,81085.6522984355,57046082.44990499,38648780.0,Italy,-0.14456245320041416,0.1866161299967306,-6.294785980909479,1.2006390765072483,-0.6760779498557468,6.001049600202535,-5.46761058829448,-11.900921817911458,,400144.81695673,401691.817577442,398822.091440365,9.516593,9.523403,10.00247,2.5791350013199725,2.6858858308230142,2.848773609481084,124.7587,126.8644,132.1284,3.9865,4.5395,4.8268,0.0001801953507740096,20.29341327591106,1.866414827834556,9.523064,2.6364728105281454,-578.4591637469712,0.15495000000000658,-0.9475000000000051
2002-03-31,400065.378785856,334062.0,8.967242,2.407891,2.46532319171166,3.264,5.4110000000000005,125.1799,19.975180147959,19.2399160349686,-0.03,251984200000.0,80119800000.0,55.4556,,1.14076238890476,121.5584,79878.6152422505,57089824.0,38651150.0,Italy,0.12489064285325924,-0.4714087550496848,-2.220390946903872,1.5959301244474755,-0.6204512272171891,1.4964814380815428,-6.243978282728657,-7.295319003873613,,399566.357792983,400144.81695673,401960.254617945,9.236442,9.516593,9.815818,2.495704982834055,2.5791350013199725,2.78516542713554,123.8112,124.7587,128.0225,3.3389,3.9865,4.7814,-7.498774348094284e-06,19.966390364662704,0.9085121616708963,9.31092,2.556512251672175,499.0209928730037,0.3862399999999937,1.368700000000004
2002-06-30,401171.382044098,336679.6,9.174257,2.2720740000000004,2.5029240925393905,3.3485,5.255,124.4429,19.8220487157037,19.2073084563305,-0.79,251206500000.0,80368200000.0,55.37642,,1.04543044505,106.5378,81103.5840541841,57148118.64721685,38690260.0,Italy,0.2764556287271125,-0.1295608998168496,-1.9087308969261696,1.5248783199387939,-0.6150864927053634,1.8441851712457602,-6.416139411640387,-7.866963042102803,,400065.378785856,399566.357792983,401691.817577442,8.967242,9.236442,9.523403,2.46532319171166,2.495704982834055,2.6858858308230142,125.1799,123.8112,126.8644,3.264,3.3389,4.5395,-0.00019692331890043964,20.216692337557856,0.2223693470272181,9.2236335,2.5107718171012694,1106.0032582419808,-0.07917999999999381,-0.737000000000009
